#mm10.knownGene.name	mm10.knownGene.txStart	mm10.knownGene.cdsStart	mm10.kgXref.geneSymbol
ENSMUST00000228375.1	84955147	84955147	App
ENSMUST00000228509.1	85014304	85014304	App
ENSMUST00000228708.1	65828612	65828612	Vgll3
ENSMUST00000232792.1	95706338	95706420	Ets2
ENSMUST00000233499.1	95702499	95702499	Ets2
ENSMUST00000233550.1	95715853	95715853	Ets2
ENSMUST00000233578.1	95717733	95717733	Ets2
ENSMUST00000233908.1	95702454	95702454	Ets2
ENSMUST00000060722.7	35829787	35858547	Cxxc5
ENSMUST00000066532.4	74939321	74941316	Lipg
ENSMUST00000235161.1	35829396	35858547	Cxxc5
ENSMUST00000235169.1	35830313	35858547	Cxxc5
ENSMUST00000235337.1	35854686	35858547	Cxxc5
ENSMUST00000235404.1	35854737	35858547	Cxxc5
ENSMUST00000235783.1	74944875	74944875	Lipg
ENSMUST00000237291.1	35829892	35858547	Cxxc5
ENSMUST00000026076.13	58235603	58238390	Gfra1
ENSMUST00000123957.1	58453420	58453420	Gfra1
ENSMUST00000129100.7	58235611	58238390	Gfra1
ENSMUST00000131877.1	58453351	58453351	Gfra1
ENSMUST00000135730.1	58454323	58454323	Gfra1
ENSMUST00000138530.7	58453334	58453334	Gfra1
ENSMUST00000140141.7	58238161	58257750	Gfra1
ENSMUST00000152507.7	58238161	58238390	Gfra1
ENSMUST00000169850.7	58236691	58238390	Gfra1
